Week_end,Indicator,High_industry,Value
2019-05-05,Number of paid jobs - 6 days,Total,760760
2019-05-05,Number of paid jobs - 6 days,A Primary,39410
2019-05-05,Number of paid jobs - 6 days,B Goods Producing,247780
2019-05-05,Number of paid jobs - 6 days,C Services,467730
2019-05-05,Number of paid jobs - 6 days,Z No Match,5850
2019-05-05,Weekly earnings - median - 6 days,Total,867.34
2019-05-05,Weekly earnings - median - 6 days,A Primary,840
2019-05-05,Weekly earnings - median - 6 days,B Goods Producing,1049.29
2019-05-05,Weekly earnings - median - 6 days,C Services,777.03
2019-05-05,Weekly earnings - median - 6 days,Z No Match,708
2019-05-05,Weekly earnings - upper quartile - 6 days,Total,1200
2019-05-05,Weekly earnings - upper quartile - 6 days,A Primary,1165.25
2019-05-05,Weekly earnings - upper quartile - 6 days,B Goods Producing,1378.59
2019-05-05,Weekly earnings - upper quartile - 6 days,C Services,1080
2019-05-05,Weekly earnings - upper quartile - 6 days,Z No Match,1050
2019-05-05,Weekly earnings - lower quartile - 6 days,Total,546.86
2019-05-05,Weekly earnings - lower quartile - 6 days,A Primary,524.25
2019-05-05,Weekly earnings - lower quartile - 6 days,B Goods Producing,788.5
2019-05-05,Weekly earnings - lower quartile - 6 days,C Services,417.21
2019-05-05,Weekly earnings - lower quartile - 6 days,Z No Match,369
2019-05-12,Number of paid jobs - 6 days,Total,781460
2019-05-12,Number of paid jobs - 6 days,A Primary,36710
2019-05-12,Number of paid jobs - 6 days,B Goods Producing,248760
2019-05-12,Number of paid jobs - 6 days,C Services,490660
2019-05-12,Number of paid jobs - 6 days,Z No Match,5320
2019-05-12,Weekly earnings - median - 6 days,Total,858
2019-05-12,Weekly earnings - median - 6 days,A Primary,812.6
2019-05-12,Weekly earnings - median - 6 days,B Goods Producing,1053.4
2019-05-12,Weekly earnings - median - 6 days,C Services,764.75
2019-05-12,Weekly earnings - median - 6 days,Z No Match,708
2019-05-12,Weekly earnings - upper quartile - 6 days,Total,1184.85
2019-05-12,Weekly earnings - upper quartile - 6 days,A Primary,1140
2019-05-12,Weekly earnings - upper quartile - 6 days,B Goods Producing,1381.71
2019-05-12,Weekly earnings - upper quartile - 6 days,C Services,1057
2019-05-12,Weekly earnings - upper quartile - 6 days,Z No Match,1057.69
2019-05-12,Weekly earnings - lower quartile - 6 days,Total,534.76
2019-05-12,Weekly earnings - lower quartile - 6 days,A Primary,483.23
2019-05-12,Weekly earnings - lower quartile - 6 days,B Goods Producing,793.93
2019-05-12,Weekly earnings - lower quartile - 6 days,C Services,409.63
2019-05-12,Weekly earnings - lower quartile - 6 days,Z No Match,365.77
2019-05-19,Number of paid jobs - 6 days,Total,764420
2019-05-19,Number of paid jobs - 6 days,A Primary,37580
2019-05-19,Number of paid jobs - 6 days,B Goods Producing,246250
2019-05-19,Number of paid jobs - 6 days,C Services,474910
2019-05-19,Number of paid jobs - 6 days,Z No Match,5690
2019-05-19,Weekly earnings - median - 6 days,Total,857.14
2019-05-19,Weekly earnings - median - 6 days,A Primary,838.94
2019-05-19,Weekly earnings - median - 6 days,B Goods Producing,1044
2019-05-19,Weekly earnings - median - 6 days,C Services,763.5
2019-05-19,Weekly earnings - median - 6 days,Z No Match,708
2019-05-19,Weekly earnings - upper quartile - 6 days,Total,1190
2019-05-19,Weekly earnings - upper quartile - 6 days,A Primary,1177.6
2019-05-19,Weekly earnings - upper quartile - 6 days,B Goods Producing,1376.96
2019-05-19,Weekly earnings - upper quartile - 6 days,C Services,1057.69
2019-05-19,Weekly earnings - upper quartile - 6 days,Z No Match,1057.69
2019-05-19,Weekly earnings - lower quartile - 6 days,Total,531
2019-05-19,Weekly earnings - lower quartile - 6 days,A Primary,511.13
2019-05-19,Weekly earnings - lower quartile - 6 days,B Goods Producing,784.38
2019-05-19,Weekly earnings - lower quartile - 6 days,C Services,404.95
2019-05-19,Weekly earnings - lower quartile - 6 days,Z No Match,370.31
2019-05-26,Number of paid jobs - 6 days,Total,791650
2019-05-26,Number of paid jobs - 6 days,A Primary,38890
2019-05-26,Number of paid jobs - 6 days,B Goods Producing,251440
2019-05-26,Number of paid jobs - 6 days,C Services,495680
2019-05-26,Number of paid jobs - 6 days,Z No Match,5630
2019-05-26,Weekly earnings - median - 6 days,Total,864.4
2019-05-26,Weekly earnings - median - 6 days,A Primary,851.47
2019-05-26,Weekly earnings - median - 6 days,B Goods Producing,1061.5
2019-05-26,Weekly earnings - median - 6 days,C Services,769.23
2019-05-26,Weekly earnings - median - 6 days,Z No Match,708
2019-05-26,Weekly earnings - upper quartile - 6 days,Total,1192.52
2019-05-26,Weekly earnings - upper quartile - 6 days,A Primary,1165.71
2019-05-26,Weekly earnings - upper quartile - 6 days,B Goods Producing,1397
2019-05-26,Weekly earnings - upper quartile - 6 days,C Services,1057.69
2019-05-26,Weekly earnings - upper quartile - 6 days,Z No Match,1039.2
2019-05-26,Weekly earnings - lower quartile - 6 days,Total,545.46
2019-05-26,Weekly earnings - lower quartile - 6 days,A Primary,550
2019-05-26,Weekly earnings - lower quartile - 6 days,B Goods Producing,800
2019-05-26,Weekly earnings - lower quartile - 6 days,C Services,415.8
2019-05-26,Weekly earnings - lower quartile - 6 days,Z No Match,354
2019-06-02,Number of paid jobs - 6 days,Total,773460
2019-06-02,Number of paid jobs - 6 days,A Primary,36490
2019-06-02,Number of paid jobs - 6 days,B Goods Producing,251150
2019-06-02,Number of paid jobs - 6 days,C Services,479500
2019-06-02,Number of paid jobs - 6 days,Z No Match,6320
2019-06-02,Weekly earnings - median - 6 days,Total,857.6
2019-06-02,Weekly earnings - median - 6 days,A Primary,824.3
2019-06-02,Weekly earnings - median - 6 days,B Goods Producing,1035.64
2019-06-02,Weekly earnings - median - 6 days,C Services,768.3
2019-06-02,Weekly earnings - median - 6 days,Z No Match,705.04
2019-06-02,Weekly earnings - upper quartile - 6 days,Total,1184.4
2019-06-02,Weekly earnings - upper quartile - 6 days,A Primary,1173.08
2019-06-02,Weekly earnings - upper quartile - 6 days,B Goods Producing,1354.04
2019-06-02,Weekly earnings - upper quartile - 6 days,C Services,1057.7
2019-06-02,Weekly earnings - upper quartile - 6 days,Z No Match,1033.95
2019-06-02,Weekly earnings - lower quartile - 6 days,Total,540
2019-06-02,Weekly earnings - lower quartile - 6 days,A Primary,509.33
2019-06-02,Weekly earnings - lower quartile - 6 days,B Goods Producing,780
2019-06-02,Weekly earnings - lower quartile - 6 days,C Services,417
2019-06-02,Weekly earnings - lower quartile - 6 days,Z No Match,355.77
2019-06-09,Number of paid jobs - 6 days,Total,763930
2019-06-09,Number of paid jobs - 6 days,A Primary,35580
2019-06-09,Number of paid jobs - 6 days,B Goods Producing,250230
2019-06-09,Number of paid jobs - 6 days,C Services,471700
2019-06-09,Number of paid jobs - 6 days,Z No Match,6420
2019-06-09,Weekly earnings - median - 6 days,Total,871.86
2019-06-09,Weekly earnings - median - 6 days,A Primary,840.75
2019-06-09,Weekly earnings - median - 6 days,B Goods Producing,1048.12
2019-06-09,Weekly earnings - median - 6 days,C Services,783.1
2019-06-09,Weekly earnings - median - 6 days,Z No Match,708
2019-06-09,Weekly earnings - upper quartile - 6 days,Total,1198.37
2019-06-09,Weekly earnings - upper quartile - 6 days,A Primary,1154.67
2019-06-09,Weekly earnings - upper quartile - 6 days,B Goods Producing,1372.23
2019-06-09,Weekly earnings - upper quartile - 6 days,C Services,1076.4
2019-06-09,Weekly earnings - upper quartile - 6 days,Z No Match,1040
2019-06-09,Weekly earnings - lower quartile - 6 days,Total,548.99
2019-06-09,Weekly earnings - lower quartile - 6 days,A Primary,534.04
2019-06-09,Weekly earnings - lower quartile - 6 days,B Goods Producing,790.74
2019-06-09,Weekly earnings - lower quartile - 6 days,C Services,423.21
2019-06-09,Weekly earnings - lower quartile - 6 days,Z No Match,360
2019-06-16,Number of paid jobs - 6 days,Total,788770
2019-06-16,Number of paid jobs - 6 days,A Primary,36620
2019-06-16,Number of paid jobs - 6 days,B Goods Producing,251580
2019-06-16,Number of paid jobs - 6 days,C Services,493270
2019-06-16,Number of paid jobs - 6 days,Z No Match,7310
2019-06-16,Weekly earnings - median - 6 days,Total,857.35
2019-06-16,Weekly earnings - median - 6 days,A Primary,832
2019-06-16,Weekly earnings - median - 6 days,B Goods Producing,1053.03
2019-06-16,Weekly earnings - median - 6 days,C Services,761.1
2019-06-16,Weekly earnings - median - 6 days,Z No Match,684
2019-06-16,Weekly earnings - upper quartile - 6 days,Total,1186.5
2019-06-16,Weekly earnings - upper quartile - 6 days,A Primary,1160.52
2019-06-16,Weekly earnings - upper quartile - 6 days,B Goods Producing,1383.52
2019-06-16,Weekly earnings - upper quartile - 6 days,C Services,1055.87
2019-06-16,Weekly earnings - upper quartile - 6 days,Z No Match,1040.71
2019-06-16,Weekly earnings - lower quartile - 6 days,Total,531
2019-06-16,Weekly earnings - lower quartile - 6 days,A Primary,525
2019-06-16,Weekly earnings - lower quartile - 6 days,B Goods Producing,792.4
2019-06-16,Weekly earnings - lower quartile - 6 days,C Services,400.9
2019-06-16,Weekly earnings - lower quartile - 6 days,Z No Match,324
2019-06-23,Number of paid jobs - 6 days,Total,769490
2019-06-23,Number of paid jobs - 6 days,A Primary,36290
2019-06-23,Number of paid jobs - 6 days,B Goods Producing,248630
2019-06-23,Number of paid jobs - 6 days,C Services,475600
2019-06-23,Number of paid jobs - 6 days,Z No Match,8980
2019-06-23,Weekly earnings - median - 6 days,Total,864.5
2019-06-23,Weekly earnings - median - 6 days,A Primary,867.73
2019-06-23,Weekly earnings - median - 6 days,B Goods Producing,1055.6
2019-06-23,Weekly earnings - median - 6 days,C Services,769.23
2019-06-23,Weekly earnings - median - 6 days,Z No Match,656
2019-06-23,Weekly earnings - upper quartile - 6 days,Total,1199
2019-06-23,Weekly earnings - upper quartile - 6 days,A Primary,1200
2019-06-23,Weekly earnings - upper quartile - 6 days,B Goods Producing,1386
2019-06-23,Weekly earnings - upper quartile - 6 days,C Services,1060.94
2019-06-23,Weekly earnings - upper quartile - 6 days,Z No Match,1000
2019-06-23,Weekly earnings - lower quartile - 6 days,Total,544.92
2019-06-23,Weekly earnings - lower quartile - 6 days,A Primary,572.57
2019-06-23,Weekly earnings - lower quartile - 6 days,B Goods Producing,796
2019-06-23,Weekly earnings - lower quartile - 6 days,C Services,415.95
2019-06-23,Weekly earnings - lower quartile - 6 days,Z No Match,344.6
2019-06-30,Number of paid jobs - 6 days,Total,765480
2019-06-30,Number of paid jobs - 6 days,A Primary,37220
2019-06-30,Number of paid jobs - 6 days,B Goods Producing,249260
2019-06-30,Number of paid jobs - 6 days,C Services,470520
2019-06-30,Number of paid jobs - 6 days,Z No Match,8480
2019-06-30,Weekly earnings - median - 6 days,Total,865.39
2019-06-30,Weekly earnings - median - 6 days,A Primary,869.94
2019-06-30,Weekly earnings - median - 6 days,B Goods Producing,1052.3
2019-06-30,Weekly earnings - median - 6 days,C Services,770
2019-06-30,Weekly earnings - median - 6 days,Z No Match,646.22
2019-06-30,Weekly earnings - upper quartile - 6 days,Total,1200
2019-06-30,Weekly earnings - upper quartile - 6 days,A Primary,1191.39
2019-06-30,Weekly earnings - upper quartile - 6 days,B Goods Producing,1386
2019-06-30,Weekly earnings - upper quartile - 6 days,C Services,1066
2019-06-30,Weekly earnings - upper quartile - 6 days,Z No Match,1008.31
2019-06-30,Weekly earnings - lower quartile - 6 days,Total,550
2019-06-30,Weekly earnings - lower quartile - 6 days,A Primary,576.92
2019-06-30,Weekly earnings - lower quartile - 6 days,B Goods Producing,794.79
2019-06-30,Weekly earnings - lower quartile - 6 days,C Services,424.29
2019-06-30,Weekly earnings - lower quartile - 6 days,Z No Match,262.79
2019-07-07,Number of paid jobs - 6 days,Total,768350
2019-07-07,Number of paid jobs - 6 days,A Primary,35660
2019-07-07,Number of paid jobs - 6 days,B Goods Producing,248370
2019-07-07,Number of paid jobs - 6 days,C Services,475290
2019-07-07,Number of paid jobs - 6 days,Z No Match,9040
2019-07-07,Weekly earnings - median - 6 days,Total,861
2019-07-07,Weekly earnings - median - 6 days,A Primary,825.72
2019-07-07,Weekly earnings - median - 6 days,B Goods Producing,1042.29
2019-07-07,Weekly earnings - median - 6 days,C Services,770.72
2019-07-07,Weekly earnings - median - 6 days,Z No Match,659.88
2019-07-07,Weekly earnings - upper quartile - 6 days,Total,1191
2019-07-07,Weekly earnings - upper quartile - 6 days,A Primary,1153.85
2019-07-07,Weekly earnings - upper quartile - 6 days,B Goods Producing,1374.88
2019-07-07,Weekly earnings - upper quartile - 6 days,C Services,1064.76
2019-07-07,Weekly earnings - upper quartile - 6 days,Z No Match,971.18
2019-07-07,Weekly earnings - lower quartile - 6 days,Total,544.28
2019-07-07,Weekly earnings - lower quartile - 6 days,A Primary,532
